capDiam,lenNocp
14.97,49.89
14.94,49.84
14.95,49.85
14.99,49.89
14.99,49.91
14.99,49.91
14.98,49.91
14.99,49.89
14.95,50
14.99,49.86
14.99,49.94
14.99,49.92
14.96,49.9
14.96,49.91
14.97,49.9
14.97,49.89
14.96,50.01
14.96,49.93
14.98,49.93
14.97,49.94
14.97,49.93
14.97,49.91
14.98,49.92
14.98,49.88
14.98,49.91
14.99,49.85
14.99,49.91
15,49.92
14.99,49.89
14.99,49.88
14.99,49.92
15,49.93
14.99,49.91
14.99,49.92
14.99,49.92
15,49.94
15,49.89
14.99,49.93
14.99,49.94
15,49.86
14.99,49.9
14.99,49.92
14.98,49.91
15,49.93
14.98,49.9
14.99,49.88
15.01,49.87
14.99,49.81
15.01,50.07
15,49.93
14.99,49.9
15,49.85
15,49.83
14.99,49.9
15,49.87
15,49.87
14.98,49.92
14.99,49.93
14.99,49.89
14.99,49.89
15,50.04
14.99,49.84
14.99,49.89
15,49.88
14.99,49.9
14.88,49.99
15,49.91
14.98,49.92
15,49.88
14.99,49.95
