cyl,origin,turn,hp,mpg
4,3,32.1,118,25
6,3,36.1,161,18
4,2,33.8,108,23
6,2,34.4,168,18
6,2,37.7,168,18
6,2,38.1,208,14
4,1,38.1,110,23
6,1,39.4,165,19
8,1,41.4,140,17
6,1,40,165,19
6,1,38,165,19
6,1,39,130,20
6,1,37.5,165,19
4,1,34.3,90,25
4,1,37.8,110,23
8,1,36.1,200,15
8,1,40.5,140,17
8,1,42.6,155,17
8,1,40.3,155,17
6,1,40.2,155,17
8,1,36.9,220,16
8,1,38.7,170,17
4,1,34.7,90,25
4,1,38.7,98,23
4,1,34.8,90,24
8,1,40.4,245,17
4,1,31.5,188,18
8,1,40.7,140,16
4,1,36.2,93,24
6,1,40.5,141,18
4,1,43.2,100,21
4,1,32.4,81,27
4,1,34.8,96,22
4,1,34.3,100,23
4,1,40.5,141,22
4,1,36.2,93,24
4,1,38.1,93,24
4,1,36.2,93,24
4,1,37.6,100,23
4,1,33.3,103,21
4,1,36.9,150,22
4,1,30.8,81,27
4,1,39.8,145,17
6,1,35.7,90,26
4,1,28.2,63,30
4,1,39.1,150,17
8,1,37.4,225,17
8,1,34.8,110,22
4,1,39.8,90,21
4,1,38.7,98,22
4,1,35.6,140,25
6,3,31.5,55,17
4,3,34.8,98,23
4,3,31.5,92,27
4,3,29.5,92,29
4,3,34.8,104,20
4,3,33.8,68,27
4,3,32.8,70,31
4,3,31.5,110,20
4,1,38,140,19
6,1,40,225,17
8,1,40,150,17
8,3,36.1,121,19
4,3,30.8,82,24
4,3,36,110,22
4,3,35.4,158,19
6,2,39,177,17
6,2,34.8,158,20
6,2,36.7,188,20
6,1,30.8,82,26
4,1,34.1,144,17
6,3,33.3,92,26
4,3,34.8,102,22
4,3,30.8,81,27
4,3,34.8,142,18
6,3,29.5,107,18
4,3,36.7,160,19
6,3,33.5,90,24
4,3,30.2,90,26
4,3,32.2,97,21
4,3,30.2,106,18
4,3,30.8,140,20
4,3,32.2,165,18
6,1,39,130,20
6,1,38.7,165,19
6,2,36.1,110,20
4,1,34,135,26
4,1,37.8,110,23
4,1,39.7,130,20
6,1,32.8,74,27
4,1,34.7,96,23
4,2,33.8,125,19
4,2,35.8,125,18
4,1,36.5,161,18
6,3,32.2,66,34
4,3,34.1,97,23
4,3,30.2,100,25
4,3,34.8,115,24
6,3,35.4,115,26
4,3,35.5,90,27
4,3,35.5,190,19
6,3,31.5,115,25
4,3,35.4,200,18
6,3,31.2,78,28
4,2,31.5,81,24
4,2,34.4,100,23
4,2,32.2,114,19
4,2,32.2,114,20
6,3,31.2,64,28
