V1,V2,V3,V4,V5
1.989,2.108,2.059,2.011,2.007
1.841,1.89,2.059,1.916,1.98
2.007,2.097,2.044,2.081,2.051
2.094,2.269,2.091,2.097,1.967
1.997,1.814,1.978,1.996,1.983
2.054,1.97,2.178,2.101,1.915
2.092,2.03,1.856,1.906,1.975
2.033,1.85,2.168,2.085,2.023
2.096,2.096,1.884,1.78,2.005
2.051,2.038,1.739,1.953,1.917
1.952,1.793,1.878,2.231,1.985
2.006,2.141,1.9,1.943,1.841
2.148,2.013,2.066,2.005,2.01
1.891,2.089,2.092,2.023,1.975
2.093,1.923,1.975,2.014,2.002
2.23,2.058,2.066,2.199,2.172
1.862,2.171,1.921,1.98,1.79
2.056,2.125,1.921,1.92,1.934
1.898,2,2.089,1.902,2.082
2.049,1.879,2.054,1.926,2.008
