x1,x2,astm,endPt,yield
50.8,8.6,190,205,12.2
50.8,8.6,190,275,22.3
50.8,8.6,190,345,34.7
50.8,8.6,190,407,45.7
41.3,1.8,267,235,2.8
41.3,1.8,267,275,6.4
41.3,1.8,267,358,16.1
41.3,1.8,267,416,27.8
40.8,3.5,210,218,8
40.8,3.5,210,273,13.1
40.8,3.5,210,347,26.6
40.3,4.8,231,307,14.4
40.3,4.8,231,367,26.8
40.3,4.8,231,395,34.9
40,6.1,217,212,7.4
40,6.1,217,272,18.2
40,6.1,217,340,30.4
38.4,6.1,220,235,6.9
38.4,6.1,220,300,15.2
38.4,6.1,220,365,26
38.4,6.1,220,410,33.6
38.1,1.2,274,285,5
38.1,1.2,274,365,17.6
38.1,1.2,274,444,32.1
32.2,5.2,236,267,10
32.2,5.2,236,360,24.8
32.2,5.2,236,402,31.7
32.2,2.4,284,351,14
32.2,2.4,284,424,23.2
31.8,0.2,316,365,8.5
31.8,0.2,316,379,14.7
31.8,0.2,316,428,18
